BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area,,,
0,1,5,1,0,4,4,1,0,2,0,0,0,1,1,3,3,2,1,0,1,0,1.100535983,15.210729,5787227.101,24,0.82655138,7738.080107
0,0,2,2,1,0,0,2,1,0,2,0,1,1,2,0,2,2,2,0,1,0,1.419604578,12.259047,5303676.732,23,0.874282022,8128.939576
0,1,1,0,2,4,4,1,1,4,0,0,0,1,1,2,3,2,1,0,1,1,1.057410782,20.47319,6221753.603,23,0.896229996,8546.964127
0,1,1,2,0,1,1,4,1,1,2,1,0,2,0,3,2,0,2,0,0,1,1.008126322,14.330243,5632326.665,23,0.777757363,10942.45816
0,0,0,2,1,3,1,2,0,3,1,1,0,1,2,1,1,0,0,1,0,2,1.148175402,14.840363,5414185.744,22,0.820134692,6352.912758
0,0,2,1,1,0,4,1,1,0,1,0,0,2,1,1,0,2,2,1,2,1,1.394660072,16.47118,5491475.006,22,0.925590929,8650.525228
0,1,3,0,1,1,3,0,1,1,0,1,0,0,2,3,0,1,0,0,0,2,1.161711655,17.74376,5523033.281,22,0.864757826,8226.732086
0,1,4,2,3,1,2,3,1,1,3,0,0,2,2,3,2,1,1,0,0,0,0.989930091,18.69262,5837227.949,22,0.833939835,21870.9026
0,1,0,2,2,0,1,0,1,0,0,0,1,0,0,2,1,2,1,0,1,0,1.405219999,13.928761,5479285.684,21,0.897963572,6698.506797
0,1,2,0,0,0,3,4,1,0,3,0,0,1,1,0,3,1,1,0,2,0,1.377251609,20.10374,5705768.595,21,0.973711413,17793.54224
0,0,2,0,3,3,2,1,0,2,1,0,0,1,2,1,3,1,0,0,0,0,1.161740461,15.583689,5390774.784,18,0.832477365,5699.02369
